datetime,price,temp,wind_speed,hour,day_of_week,day_of_month,month,week_of_year,quarter,year,season,is_weekend,is_peak_hour,is_night_hour,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,week_of_year_sin,week_of_year_cos,is_holiday,is_non_working,price_lag_1h,price_lag_2h,price_lag_3h,price_lag_6h,price_lag_12h,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h,price_rolling_min_24h,price_rolling_max_24h,price_rolling_mean_168h,temp_rolling_mean_24h,HDD,wind_power_proxy,temp_lag_24h,temp_lag_168h
2023-01-01 00:00:00,4.84,4.433333333333334,8.516666666666666,0,6,1,1,52,1,2023,1,1,0,1,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,,,,,,,,,,,,,,,12.566666666666666,617.7445879629628,,
2023-01-01 01:00:00,2.01,4.1000000000000005,7.716666666666666,1,6,1,1,52,1,2023,1,1,0,1,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,4.84,,,,,,,,,,,,,,12.899999999999999,459.50392129629614,,
2023-01-01 02:00:00,1.38,3.8,8.15,2,6,1,1,52,1,2023,1,1,0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,2.01,4.84,,,,,,,,,,,,,13.2,541.343375,,
2023-01-01 03:00:00,0.09,3.616666666666666,9.333333333333334,3,6,1,1,52,1,2023,1,1,0,1,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,1.38,2.01,4.84,,,,,,,,,,,,13.383333333333335,813.0370370370372,,
2023-01-01 04:00:00,0.08,2.516666666666667,11.7,4,6,1,1,52,1,2023,1,1,0,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,0.09,1.38,2.01,,,,,,,,,,,,14.483333333333333,1601.6129999999996,,
2023-01-01 05:00:00,0.05,1.8833333333333333,13.15,5,6,1,1,52,1,2023,1,1,0,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,0.08,0.09,1.38,,,,,,,,,,,,15.116666666666667,2197.0,,
2023-01-01 06:00:00,0.08,1.45,12.833333333333334,6,6,1,1,52,1,2023,1,1,0,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,0.05,0.08,0.09,4.84,,,,,,,,,,,15.55,2113.578703703704,,
2023-01-01 07:00:00,0.09,0.9166666666666666,12.0,7,6,1,1,52,1,2023,1,1,1,0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,0.08,0.05,0.08,2.01,,,,,,,,,,,16.083333333333332,1728.0,,
2023-01-01 08:00:00,0.53,0.1833333333333333,10.916666666666666,8,6,1,1,52,1,2023,1,1,1,0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,0.09,0.08,0.05,1.38,,,,,,,,,,,16.816666666666666,1300.9785879629628,,
2023-01-01 09:00:00,2.03,-0.85,10.666666666666666,9,6,1,1,52,1,2023,1,1,1,0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,0.53,0.09,0.08,0.09,,,,,,,,,,,17.85,1213.6296296296293,,
2023-01-01 10:00:00,3.1,-0.9833333333333334,10.316666666666668,10,6,1,1,52,1,2023,1,1,0,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,2.03,0.53,0.09,0.08,,,,,,,,,,,17.983333333333334,1098.0400879629635,,
2023-01-01 11:00:00,4.43,-1.0166666666666666,9.216666666666669,11,6,1,1,52,1,2023,1,1,0,0,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,3.1,2.03,0.53,0.05,,,,,,,,,,,18.016666666666666,782.9276712962968,,
2023-01-01 12:00:00,6.06,-0.7333333333333334,9.25,12,6,1,1,52,1,2023,1,1,0,0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,4.43,3.1,2.03,0.08,4.84,,,,,,,,,,17.733333333333334,791.453125,,
2023-01-01 13:00:00,6.06,0.05,10.733333333333334,13,6,1,1,52,1,2023,1,1,0,0,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,6.06,4.43,3.1,0.09,2.01,,,,,,,,,,16.95,1236.527703703704,,
2023-01-01 14:00:00,5.68,-0.3166666666666666,11.366666666666667,14,6,1,1,52,1,2023,1,1,0,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,6.06,6.06,4.43,0.53,1.38,,,,,,,,,,17.316666666666666,1468.585962962963,,
2023-01-01 15:00:00,17.71,-1.0166666666666666,12.0,15,6,1,1,52,1,2023,1,1,0,0,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,5.68,6.06,6.06,2.03,0.09,,,,,,,,,,18.016666666666666,1728.0,,
2023-01-01 16:00:00,24.11,-1.4833333333333334,12.4,16,6,1,1,52,1,2023,1,1,0,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,17.71,5.68,6.06,3.1,0.08,,,,,,,,,,18.483333333333334,1906.6240000000003,,
2023-01-01 17:00:00,36.54,-1.75,14.416666666666666,17,6,1,1,52,1,2023,1,1,1,0,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,24.11,17.71,5.68,4.43,0.05,,,,,,,,,,18.75,2197.0,,
2023-01-01 18:00:00,46.03,-2.0500000000000003,14.766666666666666,18,6,1,1,52,1,2023,1,1,1,0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,36.54,24.11,17.71,6.06,0.08,,,,,,,,,,19.05,2197.0,,
2023-01-01 19:00:00,54.23,-2.283333333333333,14.0,19,6,1,1,52,1,2023,1,1,1,0,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,1,46.03,36.54,24.11,6.06,0.09,,,,,,,,,,19.28333333333333,2197.0,,
