"Observation station","Year","Month","Day","Time [Local time]","Wind direction mean [°]","Wind speed mean [m/s]"
"Oulu Vihreäsaari harbour","2025","9","1","00:00","141.1","2.2"
"Oulu Vihreäsaari harbour","2025","9","1","00:10","130.9","2.2"
"Oulu Vihreäsaari harbour","2025","9","1","00:20","137","2.4"
"Oulu Vihreäsaari harbour","2025","9","1","00:30","156.8","3.2"
"Oulu Vihreäsaari harbour","2025","9","1","00:40","164.7","3.7"
"Oulu Vihreäsaari harbour","2025","9","1","00:50","169.7","3.6"
"Oulu Vihreäsaari harbour","2025","9","1","01:00","173.2","3.4"
"Oulu Vihreäsaari harbour","2025","9","1","01:10","170.5","3.7"
"Oulu Vihreäsaari harbour","2025","9","1","01:20","170.1","3.8"
"Oulu Vihreäsaari harbour","2025","9","1","01:30","165.7","3.7"
"Oulu Vihreäsaari harbour","2025","9","1","01:40","165","3.8"
"Oulu Vihreäsaari harbour","2025","9","1","01:50","167.8","3.5"
"Oulu Vihreäsaari harbour","2025","9","1","02:00","174.2","3.5"
"Oulu Vihreäsaari harbour","2025","9","1","02:10","179.2","3.2"
"Oulu Vihreäsaari harbour","2025","9","1","02:20","180.5","2.4"
"Oulu Vihreäsaari harbour","2025","9","1","02:30","189.4","2.2"
"Oulu Vihreäsaari harbour","2025","9","1","02:40","189.3","2.3"
"Oulu Vihreäsaari harbour","2025","9","1","02:50","182.9","2.4"
"Oulu Vihreäsaari harbour","2025","9","1","03:00","207","2.2"
"Oulu Vihreäsaari harbour","2025","9","1","03:10","218.4","2"
"Oulu Vihreäsaari harbour","2025","9","1","03:20","233.9","2.2"
"Oulu Vihreäsaari harbour","2025","9","1","03:30","264.8","3"
"Oulu Vihreäsaari harbour","2025","9","1","03:40","286","4.2"
"Oulu Vihreäsaari harbour","2025","9","1","03:50","282.8","3.6"
"Oulu Vihreäsaari harbour","2025","9","1","04:00","273.9","3.4"
"Oulu Vihreäsaari harbour","2025","9","1","04:10","257","3.5"
"Oulu Vihreäsaari harbour","2025","9","1","04:20","244.8","3.1"
"Oulu Vihreäsaari harbour","2025","9","1","04:30","247.9","3.3"
"Oulu Vihreäsaari harbour","2025","9","1","04:40","252.1","3.9"
"Oulu Vihreäsaari harbour","2025","9","1","04:50","244.1","3.5"
"Oulu Vihreäsaari harbour","2025","9","1","05:00","258.7","2.7"
"Oulu Vihreäsaari harbour","2025","9","1","05:10","263.1","2.6"
"Oulu Vihreäsaari harbour","2025","9","1","05:20","262.8","2.6"
"Oulu Vihreäsaari harbour","2025","9","1","05:30","256.8","3.5"
"Oulu Vihreäsaari harbour","2025","9","1","05:40","269.5","3.7"
"Oulu Vihreäsaari harbour","2025","9","1","05:50","263.7","3.2"
"Oulu Vihreäsaari harbour","2025","9","1","06:00","262.3","3.1"
"Oulu Vihreäsaari harbour","2025","9","1","06:10","255.3","2.8"
"Oulu Vihreäsaari harbour","2025","9","1","06:20","249.8","1.7"
"Oulu Vihreäsaari harbour","2025","9","1","06:30","241.7","2.4"
"Oulu Vihreäsaari harbour","2025","9","1","06:40","257.4","2.5"
"Oulu Vihreäsaari harbour","2025","9","1","06:50","288.2","2.4"
"Oulu Vihreäsaari harbour","2025","9","1","07:00","289.8","2.3"
"Oulu Vihreäsaari harbour","2025","9","1","07:10","264.4","1.8"
"Oulu Vihreäsaari harbour","2025","9","1","07:20","205.5","2"
"Oulu Vihreäsaari harbour","2025","9","1","07:30","193.3","1.9"
"Oulu Vihreäsaari harbour","2025","9","1","07:40","197","2.2"
"Oulu Vihreäsaari harbour","2025","9","1","07:50","209.2","3.4"
"Oulu Vihreäsaari harbour","2025","9","1","08:00","216.3","4.5"
"Oulu Vihreäsaari harbour","2025","9","1","08:10","220.8","3.8"
"Oulu Vihreäsaari harbour","2025","9","1","08:20","215","3.3"
"Oulu Vihreäsaari harbour","2025","9","1","08:30","209.8","2.9"
"Oulu Vihreäsaari harbour","2025","9","1","08:40","214.3","2.9"
"Oulu Vihreäsaari harbour","2025","9","1","08:50","212.1","3"
"Oulu Vihreäsaari harbour","2025","9","1","09:00","201.8","3"
"Oulu Vihreäsaari harbour","2025","9","1","09:10","193.3","2.9"
"Oulu Vihreäsaari harbour","2025","9","1","09:20","183.4","3"
"Oulu Vihreäsaari harbour","2025","9","1","09:30","194.1","2.8"
"Oulu Vihreäsaari harbour","2025","9","1","09:40","187.6","3.1"
"Oulu Vihreäsaari harbour","2025","9","1","09:50","192","3"
"Oulu Vihreäsaari harbour","2025","9","1","10:00","203.6","3.1"
"Oulu Vihreäsaari harbour","2025","9","1","10:10","204.1","3"
"Oulu Vihreäsaari harbour","2025","9","1","10:20","168.2","3.6"
"Oulu Vihreäsaari harbour","2025","9","1","10:30","169.5","3.7"
"Oulu Vihreäsaari harbour","2025","9","1","10:40","197.4","3.4"
"Oulu Vihreäsaari harbour","2025","9","1","10:50","206.3","4.1"
"Oulu Vihreäsaari harbour","2025","9","1","11:00","214.3","4.1"
"Oulu Vihreäsaari harbour","2025","9","1","11:10","212.8","3.4"
"Oulu Vihreäsaari harbour","2025","9","1","11:20","211","2.9"
"Oulu Vihreäsaari harbour","2025","9","1","11:30","181.9","2.1"
"Oulu Vihreäsaari harbour","2025","9","1","11:40","180.8","2.1"
"Oulu Vihreäsaari harbour","2025","9","1","11:50","181.3","2.6"
"Oulu Vihreäsaari harbour","2025","9","1","12:00","176.3","1.7"
"Oulu Vihreäsaari harbour","2025","9","1","12:10","161.7","1.8"
"Oulu Vihreäsaari harbour","2025","9","1","12:20","163.7","1.6"
"Oulu Vihreäsaari harbour","2025","9","1","12:30","170.6","1.1"
"Oulu Vihreäsaari harbour","2025","9","1","12:40","212.1","0.7"
"Oulu Vihreäsaari harbour","2025","9","1","12:50","24.9","0.6"
"Oulu Vihreäsaari harbour","2025","9","1","13:00","345.7","0.6"
"Oulu Vihreäsaari harbour","2025","9","1","13:10","197.8","1.2"
"Oulu Vihreäsaari harbour","2025","9","1","13:20","339.4","1.8"
"Oulu Vihreäsaari harbour","2025","9","1","13:30","339.1","2.3"
"Oulu Vihreäsaari harbour","2025","9","1","13:40","336.5","2.7"
"Oulu Vihreäsaari harbour","2025","9","1","13:50","324.6","3.3"
"Oulu Vihreäsaari harbour","2025","9","1","14:00","317.5","4.2"
"Oulu Vihreäsaari harbour","2025","9","1","14:10","314.4","4.3"
"Oulu Vihreäsaari harbour","2025","9","1","14:20","313.4","3.8"
"Oulu Vihreäsaari harbour","2025","9","1","14:30","314.9","3"
