"Observation station","Year","Month","Day","Time [Local time]","Wind direction mean [°]","Wind speed mean [m/s]"
"Oulu Vihreäsaari harbour","2023","1","1","00:00","215.3","8.7"
"Oulu Vihreäsaari harbour","2023","1","1","00:10","215.4","8.2"
"Oulu Vihreäsaari harbour","2023","1","1","00:20","213.1","9"
"Oulu Vihreäsaari harbour","2023","1","1","00:30","212.5","8.7"
"Oulu Vihreäsaari harbour","2023","1","1","00:40","210","8.4"
"Oulu Vihreäsaari harbour","2023","1","1","00:50","209.7","8.1"
"Oulu Vihreäsaari harbour","2023","1","1","01:00","210.1","8.2"
"Oulu Vihreäsaari harbour","2023","1","1","01:10","213.6","8"
"Oulu Vihreäsaari harbour","2023","1","1","01:20","217.1","7.5"
"Oulu Vihreäsaari harbour","2023","1","1","01:30","223.7","7"
"Oulu Vihreäsaari harbour","2023","1","1","01:40","235.1","7.6"
"Oulu Vihreäsaari harbour","2023","1","1","01:50","245.6","8"
"Oulu Vihreäsaari harbour","2023","1","1","02:00","249.3","8.1"
"Oulu Vihreäsaari harbour","2023","1","1","02:10","251.2","7.8"
"Oulu Vihreäsaari harbour","2023","1","1","02:20","253.6","7.6"
"Oulu Vihreäsaari harbour","2023","1","1","02:30","258.9","8.1"
"Oulu Vihreäsaari harbour","2023","1","1","02:40","259.7","8.6"
"Oulu Vihreäsaari harbour","2023","1","1","02:50","259.7","8.7"
"Oulu Vihreäsaari harbour","2023","1","1","03:00","260.7","8.6"
"Oulu Vihreäsaari harbour","2023","1","1","03:10","262.9","9.1"
"Oulu Vihreäsaari harbour","2023","1","1","03:20","264","9.4"
"Oulu Vihreäsaari harbour","2023","1","1","03:30","262.8","9.3"
"Oulu Vihreäsaari harbour","2023","1","1","03:40","261.1","9.5"
"Oulu Vihreäsaari harbour","2023","1","1","03:50","260.8","10.1"
"Oulu Vihreäsaari harbour","2023","1","1","04:00","259.2","9.8"
"Oulu Vihreäsaari harbour","2023","1","1","04:10","260.7","10.4"
"Oulu Vihreäsaari harbour","2023","1","1","04:20","264.4","11.7"
"Oulu Vihreäsaari harbour","2023","1","1","04:30","265.1","12.9"
"Oulu Vihreäsaari harbour","2023","1","1","04:40","267","12.7"
"Oulu Vihreäsaari harbour","2023","1","1","04:50","267.9","12.7"
"Oulu Vihreäsaari harbour","2023","1","1","05:00","271","12.6"
"Oulu Vihreäsaari harbour","2023","1","1","05:10","269.5","13.1"
"Oulu Vihreäsaari harbour","2023","1","1","05:20","266.7","12.9"
"Oulu Vihreäsaari harbour","2023","1","1","05:30","269.4","13"
"Oulu Vihreäsaari harbour","2023","1","1","05:40","272.6","13.3"
"Oulu Vihreäsaari harbour","2023","1","1","05:50","274.6","14"
"Oulu Vihreäsaari harbour","2023","1","1","06:00","273.7","13.9"
"Oulu Vihreäsaari harbour","2023","1","1","06:10","276.3","13.3"
